"","Gene","Transcript","Region","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000000003.14","ENST00000373020.8","CDS",4.51502127240661,0.301085689759882,0.89500454442003,0.336406883782906,0.736564059172756,0.907203973785785
"2","ENSG00000000005.5","ENST00000373031.4","CDS",0.16813583961181,-1.0188514825206,4.0804728567969,-0.249689562527903,0.802827430491918,NA
"3","ENSG00000000419.12","ENST00000371588.9","CDS",93.0893171622582,-0.425536639586906,0.211476663717387,-2.01221558968598,0.044197215827109,0.226411088092279
"4","ENSG00000000457.13","ENST00000367771.10","CDS",51.1538242544457,-1.1310229293625,0.283935671185415,-3.98337737784246,6.79427357442264e-05,0.0015970447654821
"5","ENSG00000000460.16","ENST00000286031.10","CDS",14.529659256159,0.66514940029761,0.493748469477771,1.34714220177964,0.177934438575244,0.499858171192441
"6","ENSG00000000938.12","ENST00000374005.7","CDS",0,NA,NA,NA,NA,NA
"7","ENSG00000000971.15","ENST00000367429.8","CDS",184.411714926426,1.04187572196371,0.159973098844963,6.51281827686189,7.37537180634613e-11,6.4980401080632e-09
"8","ENSG00000001036.13","ENST00000002165.10","CDS",240.617950794507,0.133991435379615,0.142698386192818,0.938983536916538,0.347739196958554,0.680909097292952
"9","ENSG00000001084.12","ENST00000229416.10","CDS",56.6728290090684,-0.0765312289165254,0.259706534994824,-0.294683493112912,0.768235674116502,0.920352638294227
"10","ENSG00000001167.14","ENST00000341376.10","CDS",6.21903993658901,1.37131175333339,0.828313207354059,1.65554737164444,0.0978135155581085,0.364882596345005
"11","ENSG00000001460.17","ENST00000374409.5","CDS",0.485274033287242,-0.959082200494375,2.67951340254142,-0.357931480986332,0.720394590952536,NA
"12","ENSG00000001461.16","ENST00000374399.8","CDS",1.33257737254935,2.64879510811158,1.93651994333355,1.36781194391002,0.171370948104517,NA
"13","ENSG00000001497.16","ENST00000374811.7","CDS",133.232373330463,-0.190016694135254,0.197322665248642,-0.962974496091554,0.335560322282412,0.66896164853532
"14","ENSG00000001561.6","ENST00000321037.4","CDS",0.219119268515304,0.904701869121888,4.0804728567969,0.221714958259044,0.824535784900797,NA
"15","ENSG00000001617.11","ENST00000002829.7","CDS",8.75325741738077,-0.26801743606888,0.655720990497782,-0.408737008503293,0.682732671460312,0.88616407459185
"16","ENSG00000001626.15","ENST00000003084.10","CDS",0.278429121917833,1.65081312457941,3.72717426927364,0.442912781993723,0.657828821677183,NA
