"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.14:ENST00000373020.8:CDS",4.73723324211469,0.623723703150071,0.843384164842208,0.739548747950189,0.459573850113969,NA
"ENSG00000000005.5:ENST00000373031.4:CDS",0.153704529552121,-0.759986425353481,4.0804728567969,-0.186249597050391,0.852249031507618,NA
"ENSG00000000419.12:ENST00000371588.9:CDS",90.8242087258911,-0.216607494713878,0.236448817873123,-0.916086181619686,0.359621694860002,0.832507707427417
"ENSG00000000457.13:ENST00000367771.10:CDS",69.5017436158428,0.23386813555233,0.260109240683567,0.89911506003295,0.368591377165082,0.836483073969149
"ENSG00000000460.16:ENST00000286031.10:CDS",10.6522502701158,0.112980258224153,0.558237997601626,0.202387259035668,0.839613988125469,NA
"ENSG00000000938.12:ENST00000374005.7:CDS",0,NA,NA,NA,NA,NA
"ENSG00000000971.15:ENST00000367429.8:CDS",107.953087470206,-0.0602252172101698,0.21688872023077,-0.277677959213785,0.781259581464521,0.969634349392265
"ENSG00000001036.13:ENST00000002165.10:CDS",195.390496202919,-0.208971801818361,0.179665658531866,-1.16311488531515,0.244782893513034,0.771706874475276
"ENSG00000001084.12:ENST00000229416.10:CDS",58.8285454620814,0.268218321064404,0.265125299456393,1.01166626351522,0.311697651275239,0.80718473607114
"ENSG00000001167.14:ENST00000341376.10:CDS",2.631762115927,-0.537461874036763,1.11105457935762,-0.483740298651674,0.628570189566899,NA
"ENSG00000001460.17:ENST00000374409.5:CDS",0.312926302842166,-1.66305497440215,3.12830844448627,-0.531614770063142,0.594992832905686,NA
"ENSG00000001461.16:ENST00000374399.8:CDS",0.339515908813678,0.20180128291186,3.09354485322911,0.0652330231130204,0.947988468471968,NA
"ENSG00000001497.16:ENST00000374811.7:CDS",125.914987708608,-0.0867727251081321,0.266594751868642,-0.325485496244454,0.744813657880596,0.960255638518484
"ENSG00000001561.6:ENST00000321037.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000001617.11:ENST00000002829.7:CDS",9.48320700889012,0.251092940100564,0.628661249090119,0.399408967013601,0.689591887817357,NA
"ENSG00000001626.15:ENST00000003084.10:CDS",0.177618956496131,1.16356692628901,4.0804728567969,0.285154923736556,0.775525452875901,NA
"ENSG00000001629.9:ENST00000265742.7:CDS",38.1329270826734,0.00926416333431196,0.326610562094986,0.0283645552516386,0.977371393631336,NA
"ENSG00000001630.16:ENST00000003100.12:CDS",173.50581024266,-0.143316901472645,0.193791212702582,-0.739542827943385,0.459577443454426,0.879152515116714
"ENSG00000001631.15:ENST00000394507.5:CDS",39.3704313739363,-0.161131372444907,0.316383257454127,-0.509291717082309,0.610547762893778,NA
"ENSG00000002016.17:ENST00000358495.7:CDS",21.107330239267,0.0437906891285197,0.41772342728629,0.104831776884056,0.916509294659231,NA
"ENSG00000002330.13:ENST00000394532.7:CDS",23.2045418757244,-0.223156177250618,0.431153066932885,-0.517579937069903,0.604751382843551,NA
"ENSG00000002549.12:ENST00000226299.8:CDS",30.8726470896272,0.054050642812002,0.360693163719653,0.149852140957161,0.880881271225308,NA
"ENSG00000002586.19:ENST00000381192.9:CDS",26.4632374283291,-0.436470817401811,0.373225529403816,-1.16945595361341,0.242219977528822,NA
"ENSG00000002587.9:ENST00000002596.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000002726.20:ENST00000493429.5:CDS",0.328602181272686,-1.72097566712786,3.32123126115284,-0.518173993861087,0.604336877741362,NA
"ENSG00000002745.12:ENST00000222462.2:CDS",4.72761668883951,0.620798436365976,0.857385758494627,0.724059654846561,0.469029112146095,NA
"ENSG00000002746.14:ENST00000395891.6:CDS",8.35977087511778,0.195744360962546,0.666654373865706,0.293621955598206,0.769046796797207,NA
"ENSG00000002822.15:ENST00000406869.5:CDS",12.6126684638234,0.468670680703106,0.526027416247272,0.890962459802277,0.372949310018344,NA
"ENSG00000002834.17:ENST00000318008.10:CDS",21.7434518972864,-0.135351380302428,0.417436330329552,-0.324244370861474,0.745753031970193,NA
"ENSG00000002919.14:ENST00000393405.6:CDS",1.82986603649143,0.464271395993913,1.37520884303084,0.337600647601057,0.735664154091206,NA
"ENSG00000002933.8:ENST00000484928.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000003056.7:ENST00000000412.7:CDS",74.2056955102801,0.64825136916926,0.258920446314739,2.50367005926314,0.012291259570554,0.276500813587163
"ENSG00000003096.14:ENST00000262820.7:CDS",100.752065844318,0.238783920629366,0.217650895574074,1.09709597104828,0.272599441276501,0.787153348010827
"ENSG00000003137.8:ENST00000001146.6:CDS",0.3371946776057,0.201801239223132,3.1006496596576,0.0650835345407636,0.948107490167981,NA
"ENSG00000003147.18:ENST00000402384.7:CDS",0.798746192653689,-1.68343224062778,2.06562254817216,-0.814975728318528,0.415086203516537,NA
"ENSG00000003249.13:ENST00000002501.10:CDS",0.44587563661747,-2.18795921752189,2.94935330398718,-0.741843716913816,0.458182029876424,NA
"ENSG00000003393.14:ENST00000264276.10:CDS",21.4300021776219,-0.488405652255817,0.430274093923117,-1.13510355179108,0.256331933572381,NA
"ENSG00000003400.14:ENST00000286186.10:CDS",0,NA,NA,NA,NA,NA
"ENSG00000003402.19:ENST00000309955.7:CDS",18.5833795415639,-0.686796605251224,0.448417283691376,-1.53160154666098,0.125620790627761,NA
"ENSG00000003436.15:ENST00000233156.8:CDS",130.992928354917,0.310499342457025,0.208665848299073,1.48802185402183,0.136745130360386,0.703126512368915
